,open,high,low,close,volume,value,macd,signal,result
2024-03-23 21:40:00,93973000.0,93973000.0,93968000.0,93973000.0,2.23634247,210150692.18505,10388.969077706337,19553.647015880033,Hold
2024-03-23 21:41:00,93973000.0,94027000.0,93970000.0,94020000.0,5.43185783,510472131.02584,12817.14042559266,18206.34569782256,Hold
2024-03-23 21:42:00,94021000.0,94098000.0,94021000.0,94090000.0,1.65304375,155532357.00576,20157.53518049419,18596.583594356885,Hold
2024-03-23 21:43:00,94097000.0,94097000.0,94034000.0,94085000.0,0.89179373,83900630.64028,25279.980812624097,19933.26303801033,Hold
2024-03-23 21:44:00,94052000.0,94070000.0,94020000.0,94051000.0,1.73869279,163516799.70948,26292.951255857944,21205.200681579852,Hold
2024-03-23 21:45:00,94070000.0,94080000.0,94047000.0,94048000.0,1.41263451,132857607.8852,26547.63805603981,22273.688156471846,Hold
2024-03-23 21:46:00,94048000.0,94050000.0,94038000.0,94039000.0,1.73530963,163196025.69414,25726.69309259951,22964.28914369738,Hold
2024-03-23 21:47:00,94038000.0,94080000.0,94038000.0,94051000.0,3.95039692,371516318.52304,25747.585863769054,23520.948487711717,Hold
2024-03-23 21:48:00,94080000.0,94094000.0,94080000.0,94090000.0,3.27643682,308285963.73127,28581.646173208952,24533.088024811164,Hold
2024-03-23 21:49:00,94090000.0,94097000.0,94050000.0,94082000.0,2.87300332,270313261.77408,29838.17039090395,25594.104498029723,Hold
2024-03-23 21:50:00,94091000.0,94100000.0,94056000.0,94099000.0,3.64273939,342752151.49278,31838.715913116932,26843.026781047167,Hold
2024-03-23 21:51:00,94100000.0,94158000.0,94098000.0,94158000.0,2.59673485,244391924.15879,37749.81322069466,29024.38406897667,Hold
2024-03-23 21:52:00,94152000.0,94300000.0,94152000.0,94270000.0,5.15319071,485598708.25718,50885.29044775665,33396.56534473266,Hold
2024-03-23 21:53:00,94272000.0,94279000.0,94220000.0,94253000.0,3.85524393,363365667.05526,59240.60405360162,38565.37308650646,Hold
2024-03-23 21:54:00,94254000.0,94254000.0,94219000.0,94219000.0,3.59933716,339183830.2038,62399.432615980506,43332.18499240127,Hold
2024-03-23 21:55:00,94217000.0,94220000.0,94100000.0,94160000.0,4.2885774,403880471.4844,59456.64094699919,46557.07618332085,Hold
2024-03-23 21:56:00,94159000.0,94200000.0,94000000.0,94002000.0,7.58570755,713678474.79411,43869.47777676582,46019.556502009844,Hold
2024-03-23 21:57:00,94059000.0,94093000.0,94000000.0,94047000.0,1.9163363,180201085.57177,34747.119420841336,43765.069085776144,Hold
2024-03-23 21:58:00,94017000.0,94100000.0,94017000.0,94049000.0,2.07133387,194814107.78853,27363.538151443005,40484.762898909525,Hold
2024-03-23 21:59:00,94049000.0,94049000.0,93950000.0,93950000.0,3.99430646,375488671.95327,13369.409941509366,35061.69230742949,Hold
2024-03-23 22:00:00,93999000.0,94000000.0,93907000.0,93949000.0,3.78749854,355857179.60742,2173.219350337982,28483.997716011192,Hold
2024-03-23 22:01:00,93932000.0,94205000.0,93890000.0,93901000.0,11.16235511,1049378963.32143,-10452.550706550479,20696.68803149886,Hold
2024-03-23 22:02:00,93900000.0,93901000.0,93877000.0,93880000.0,1.1245644,105586649.64042,-21900.632082119584,12177.22400877517,Hold
2024-03-23 22:03:00,93880000.0,93880000.0,93842000.0,93876000.0,2.09723032,196865595.84131,-30939.435073435307,3553.8921923330763,Hold
2024-03-23 22:04:00,93873000.0,93876000.0,93850000.0,93872000.0,2.97529564,279258896.33766,-37987.620493128896,-4754.410344759319,Hold
2024-03-23 22:05:00,93855000.0,93977000.0,93855000.0,93968000.0,4.26528447,400467329.14181,-35418.67607276142,-10887.263490359739,Hold
2024-03-23 22:06:00,93862000.0,93967000.0,93862000.0,93878000.0,2.64535659,248369754.17088,-40181.82587362826,-16746.17596701344,Hold
